date,W_up_gamma_5,W_down_gamma_5,W_up_diff_5,W_down_diff_5
2018-10-22,28751.662379720125,12120.218310312152,10259.302190498813,4528.199541037469
2018-10-23,25749.592278779062,7386.268620068985,10150.852801560159,2935.31274837652
2018-10-25,29118.256484363665,7249.7855906037275,11114.129056611502,2781.468923366835
2018-10-26,30509.693384877115,5121.258032224973,12870.835013532247,1682.7291398422376
2018-10-29,28611.71393972389,10529.023748345273,8888.946154713547,3276.9130844430874
2018-10-30,27073.838295709877,10568.957429088718,7375.610035139878,3824.5301746522446
2018-11-08,24439.547829522875,9753.653879893836,10854.507026483441,4563.926688736729
2018-11-13,23274.559470329685,15796.671291842822,10254.343162051027,8133.703187551049
2018-11-14,23744.263056335272,9416.070338560285,12877.43828004292,5015.812119065171
2018-11-15,25750.081032230428,8848.630166252191,13939.179471832782,4514.533631882031
2018-11-26,10897.800773925412,2729.072705861719,2779.7759158596473,622.2999263830625
2018-11-30,13146.575273804285,4026.3334158306443,3747.305771097208,1006.5808162760763
2018-12-04,13112.585292298989,6264.399322994353,3124.6793557142446,2063.532752255829
2018-12-06,12264.201931926957,6248.609783387153,3435.173045920752,1683.455958953944
2018-12-07,14064.009567661036,6044.221149817476,3754.9667784420835,1707.890705380395
2018-12-11,12963.348633478201,8317.991120752877,3297.2140837263214,3183.147042540275
2018-12-12,15131.69416074427,6801.5629454069185,4472.489612802667,2329.245747849388
2018-12-13,15717.692493860597,7852.127355629261,4292.461244272727,3171.5831070088443
2018-12-17,17815.767662805556,9017.393065916094,5041.985109641319,2840.675381109455
2018-12-21,19341.522616938717,9372.60181404349,5396.865593146031,2554.748469891836
2018-12-26,12984.131806293446,5589.944420097108,2904.923417884642,1268.5959941645951
2019-01-02,16570.62841505793,4656.830871049518,4638.150534542243,1111.0590178602492
2019-01-03,22207.979621773582,6150.632101154589,6160.097865740612,1658.6353669414884
2019-01-07,20288.91100379564,10603.870481076889,4579.3923002431475,3176.1498387370048
2019-01-08,22283.668832167386,10700.171403009084,5476.962229323886,3477.474621595984
2019-01-10,23729.118933600283,10383.417954279777,6431.959341081452,3206.394892788642
2019-01-16,22757.01467493464,7502.474958192651,8494.004296875799,2983.449114872851
2019-01-21,20677.02895507573,11968.53206020617,7265.996574537639,4768.128352090981
2019-01-23,21332.16463846639,11241.763687914241,6760.6983462742355,4322.627022037425
2019-01-24,21727.685474268656,13526.663740233886,6173.175384193048,5550.796699524293
2019-01-25,22895.1547943264,11261.20640520545,7809.740118680911,4473.294646042827
2019-01-28,21429.646215417815,10219.363899697331,6137.668813255181,3684.055451238859
2019-01-31,19821.939400068728,11187.289996187068,6115.229756352348,4793.6872715814
2019-02-04,18073.84046840798,13978.28651604864,5340.878296284485,6365.651216442829
2019-02-08,25134.864087571383,10596.455762180727,10424.359210658231,2945.384860471412
2019-02-12,16728.280748720914,12442.977336391346,7025.9224150312075,6418.735351589011
