date,S_up_gamma_5,S_down_gamma_5,S_up_diff_5,S_down_diff_5
2018-01-11,35349.57277547382,15922.116367064818,17670.023325653303,7588.635379660114
2018-01-12,35822.559141615966,14495.911903631983,18332.194501709662,7026.187332922148
2018-01-18,32300.96833676803,17770.1683024989,16026.394765795203,10213.01679585901
2018-01-19,32065.97484945194,18955.870074773302,15903.079302002094,11735.107808903918
2018-01-23,30955.52043696324,19831.780043137776,14540.696867555605,11897.520562910951
2018-02-01,28064.56451852145,24383.754157835927,10859.801512123358,11526.865209926938
2018-02-06,35192.03949935521,15577.130842298893,17848.07318772343,8419.990058107902
2018-02-13,31740.389678534444,26069.947618903392,11981.949142918114,15823.088275864677
2018-02-15,24149.41721754103,29372.167168733708,7944.61998334093,16602.511540877404
2018-02-27,26357.41255386637,24788.92930540382,8373.496056062319,13290.421861475814
2018-02-28,27314.880765642734,24705.170965419984,8724.404800590735,12850.779138725691
2018-03-01,26677.19507925411,25049.555036468522,8025.326210804447,13479.396878625143
2018-03-02,25140.42820363358,28325.656923803937,6564.269301801749,14466.479867429938
2018-03-05,27119.90103645049,28849.83727637618,6712.809984255175,14328.23473545186
2018-03-09,30824.592371300296,29162.378648691316,11083.505092866271,15759.270771983773
2018-03-13,34639.15109280967,22655.40425194302,13884.39605898493,11379.64503453987
2018-03-14,33865.43462851662,28292.48301184741,12710.862296335894,14993.675255144544
2018-03-19,32771.429454693025,27762.520834375642,13033.58716797686,15144.299336491957
2018-03-21,33334.72667096806,20601.2331432599,17364.404000803886,10303.325920038971
2018-03-22,31196.752952317725,21126.412192465268,14980.939199424882,9847.410514030908
2018-03-23,29508.935163765156,22731.649506762707,12872.391511547372,10188.329483471925
2018-03-27,27627.0926440374,17779.155216449428,11246.479694598249,9040.992615595776
2018-03-28,30585.877316245907,17546.241560260314,12467.514390483502,8368.663798694299
2018-03-29,31553.158429206596,18330.607037753663,12994.566044173353,8087.021165113132
