date,C_up_gamma_5,C_down_gamma_5,C_up_diff_5,C_down_diff_5
2018-04-20,58308.41711620164,34963.215453008765,13931.044015912288,8792.828458018055
2018-04-23,70516.80488816473,29565.406819447562,15875.5874738251,7676.149884479033
2018-04-25,70939.35300251479,40368.58457922857,14389.615146381264,11023.589583721368
2018-04-27,54140.48533738521,48880.1635192164,12596.309127422966,14034.316485022806
2018-04-30,60883.47132873716,53322.76315722579,10713.195778290617,16791.88818781507
2018-05-03,58452.25561876572,63444.068250689335,10892.385187065389,20816.30925605735
2018-05-07,61303.00019691434,69084.64515863975,10063.675461194944,23396.22328640541
2018-05-09,70320.77756036658,63134.325900168245,13180.54696017447,21811.130220193947
2018-05-10,70755.42275259669,58453.89272546763,14633.824829505975,19002.885015107975
2018-05-11,70914.63020751465,55474.22566144452,17659.00713565434,20534.9673810779
2018-05-16,72818.6469737591,60230.84509345396,16831.86337589145,20628.09625725416
2018-05-18,84356.3341691855,45163.091754313355,26338.147913439163,13216.25324826171
2018-05-21,81157.43333864446,60099.59695422658,20887.3824102691,20168.317057571927
2018-05-22,82651.5032121461,60315.4775615426,22109.50499872009,21048.59197598695
2018-05-23,78345.6893684425,58316.1576984031,19820.440709689545,20300.821709452983
2018-05-24,83120.38202273985,62533.21707094462,17789.574826356104,25614.841305847593
2018-05-25,77207.6729283104,57035.77055449407,16761.41515291437,21076.192848053703
2018-05-30,90855.40020169187,57455.70730338276,17007.175151343792,19095.67982215496
2018-05-31,84275.25920580667,48777.01253658765,19546.065077098923,15340.687348073552
2018-06-01,85788.00216414212,49049.15097727015,19957.247024207783,16084.54728325829
2018-06-04,85680.59205263574,51184.64475033782,22336.046436521487,14003.122643594863
2018-06-05,101137.11970109126,33685.37849808224,26005.43198818194,9205.201596537889
2018-06-06,103160.06875646953,40281.215595364854,26088.269808219557,12811.936978052654
2018-06-07,108995.95437873877,31528.71753371715,30168.55630961733,11038.255318078292
2018-06-08,105629.53816446027,32920.536839247274,31163.15687719245,10029.954690543182
2018-06-11,106257.74477508983,33155.71688149968,30344.28028093386,10704.577165594295
2018-06-12,110164.76464111402,25113.009749367557,33746.354331310475,7215.689716212593
2018-06-13,100540.56705257072,35064.7199791128,31930.92253398287,11447.686173992784
2018-06-14,99528.4240715732,37394.50093101879,31187.176869052026,10791.280829485826
2018-06-15,96230.18385737951,27168.041897094845,32469.690595084758,6988.63693223743
2018-06-19,120375.67987578329,22670.6501425424,40682.8825251449,5909.522746889543
2018-06-20,117058.1481009112,23686.14990164077,39759.655178925444,5906.8495865811965
2018-06-21,114758.53828951059,22728.395459419684,31717.040185236852,4332.7046365881215
2018-06-25,98808.1833891494,24928.89917890054,14970.982685831841,4996.90685743187
2018-06-26,96730.29475649411,23567.749242924638,18239.216351411364,3733.687500224438
2018-06-27,95191.57953079134,24045.11422912934,19795.91341654783,4419.58927502076
2018-06-29,99886.91290909905,17365.34973463828,21575.006595280982,3540.423812658937
2018-07-03,93184.05591113819,14324.573830214922,24900.951623841174,2849.384082054543
2018-07-09,118559.18189966782,33625.23644901472,24693.075709696423,6889.044706102217
2018-07-16,86454.53912525595,13209.371210836294,32118.882132827137,3509.1431629221734
2018-07-20,109560.22720571118,29667.07708448894,35352.77378918939,9636.454143294955
2018-07-25,102646.11754329303,25739.179365357882,43119.53747923854,7033.646440908637
2018-07-30,79670.37215385205,38963.291868371896,22894.838965874776,12519.730925555767
2018-08-02,92246.279240544,38785.34587400138,23371.03988586407,12716.829611189922
2018-08-07,81151.73710468272,50798.09080587234,23589.7596545876,16552.638540597567
2018-08-09,85038.3582717557,49060.85328129893,28055.167361581152,17948.47543625987
2018-08-10,97036.08716916855,40780.22089361469,28636.733841786147,15436.558127928984
2018-08-13,97335.82120573377,31919.341075840104,39307.536089111905,11972.9472005912
2018-08-15,89913.03663735121,34614.89775208058,36692.98020001847,16511.51572133643
2018-08-20,84235.78421636476,31237.00415299075,27040.48818692204,13345.3478447764
2018-08-22,79139.85489340163,21597.384179512886,31838.35096943994,10030.543296612987
2018-08-23,81263.81654982561,21042.423930004563,31860.90008409985,9795.506617712641
2018-09-10,72239.85350103205,21053.58475633576,20376.58387211949,7383.472766442574
2018-09-12,71640.51840818161,23954.733425270468,19567.43524395756,9148.824723161953
2018-09-13,70266.77068701285,13311.791950143399,28747.090144706504,3553.069795316418
2018-09-14,75008.83797794273,13726.768679000787,31503.902709831505,3004.6697830103276
2018-09-19,66578.7207331611,11258.610343893013,30177.80408779696,4703.7394811046315
2018-09-21,68132.98142772274,20319.79728342648,17838.03019048956,6736.281345938012
2018-09-23,0,0,0,0
2018-09-27,60728.9793695892,33081.38649175355,18450.522060673095,10691.011081412424
2018-10-01,67578.0127449201,23440.80456301779,25260.987983492567,8631.752580505545
2018-10-15,55229.22969885441,51351.90640344186,21995.891796085387,25239.234010971926
2018-10-22,65659.94928547356,32375.79131680688,31318.416696405853,16670.597559942315
2018-10-23,66722.12017095092,45974.90869667993,29713.297679472365,19163.05250174396
2018-10-24,60506.73727807663,43200.93614717219,26001.139476672455,18068.133766552757
2018-10-26,60326.62197070169,27172.012918753546,33303.04118860708,9765.248813653805
2018-10-29,64615.10682906703,32737.45599149094,28666.630012250127,14667.823645694218
2018-10-30,57879.781235703864,28256.314931322195,27509.945390260793,13140.491212568633
2018-11-02,63325.865951785025,29136.880662156796,29514.19220872302,13936.277205448454
2018-11-08,61484.89191340683,40490.72410635041,30672.00294618908,19990.392238203254
2018-11-09,67314.04610889227,34955.73308596794,36521.53277063013,17809.673401742497
2018-11-13,61683.817413575714,36772.23220846013,39983.61237483818,22019.32286277428
2018-11-14,67423.68624764327,20276.49629025713,43753.28518612192,12265.840164084899
2018-11-15,68349.72538892651,26160.655163639276,44105.93906070851,18397.875362486597
2018-11-26,33116.53285384388,7881.913824965687,10057.615127041554,2241.620691727304
