DATE,LIBOR
7/27/2018,2.07675
7/30/2018,2.0815
7/31/2018,2.08138
8/1/2018,2.08213
8/2/2018,2.08019
8/3/2018,2.07931
8/6/2018,2.08256
8/7/2018,2.07113
8/8/2018,2.06344
8/9/2018,2.06731
8/10/2018,2.06675
8/13/2018,2.06269
8/14/2018,2.0635
8/15/2018,2.06
8/16/2018,2.07738
8/17/2018,2.06938
8/20/2018,2.067
8/21/2018,2.06588
8/22/2018,2.066
8/23/2018,2.06475
8/24/2018,2.07275
8/27/2018,2.07275
8/28/2018,2.07488
8/29/2018,2.07588
8/30/2018,2.10375
8/31/2018,2.11375
9/3/2018,2.1095
9/4/2018,2.12031
9/5/2018,2.1205
9/6/2018,2.13256
9/7/2018,2.131
9/10/2018,2.13894
9/11/2018,2.14794
9/12/2018,2.13444
9/13/2018,2.15844
9/14/2018,2.16469
9/17/2018,2.16813
9/18/2018,2.16525
9/19/2018,2.18244
9/20/2018,2.21219
9/21/2018,2.21581
9/24/2018,2.21819
9/25/2018,2.23006
9/26/2018,2.24219
9/27/2018,2.256
9/28/2018,2.26056
10/1/2018,2.26513
10/2/2018,2.27394
10/3/2018,2.27925
10/4/2018,2.28063
10/5/2018,2.27669
10/8/2018,2.28406
10/9/2018,2.28713
10/10/2018,2.28319
10/11/2018,2.2795
10/12/2018,2.27975
10/15/2018,2.2895
10/16/2018,2.28713
10/17/2018,2.282
10/18/2018,2.27963
10/19/2018,2.28188
10/22/2018,2.2865
10/23/2018,2.28138
10/24/2018,2.29406
10/25/2018,2.29494
10/26/2018,2.29669
10/29/2018,2.302
10/30/2018,2.29938
10/31/2018,2.30688
11/1/2018,2.31356
11/2/2018,2.31788
11/5/2018,2.316
11/6/2018,2.31688
11/7/2018,2.31531
11/8/2018,2.31844
11/9/2018,2.31438
11/12/2018,2.30663
11/13/2018,2.3065
11/14/2018,2.31038
11/15/2018,2.3025
11/16/2018,2.30088
11/19/2018,2.30025
11/20/2018,2.3055
11/21/2018,2.31513
11/22/2018,2.31488
11/23/2018,2.32188
11/26/2018,2.33675
11/27/2018,2.34931
11/28/2018,2.34463
11/29/2018,2.34925
11/30/2018,2.34694
12/3/2018,2.37888
12/4/2018,2.3795
12/5/2018,2.38325
12/6/2018,2.38694
12/7/2018,2.40019
12/10/2018,2.4205
12/11/2018,2.43238
12/12/2018,2.44013
12/13/2018,2.45513
12/14/2018,2.455
12/17/2018,2.46963
12/18/2018,2.47013
12/19/2018,2.47938
12/20/2018,2.50375
12/21/2018,2.50625
12/24/2018,2.50563
12/25/2018,2.50563
12/26/2018,2.50563
12/27/2018,2.52238
12/28/2018,2.51988
12/31/2018,2.50269
1/1/2019,2.50269
1/2/2019,2.50713
1/3/2019,2.51275
1/4/2019,2.52056
1/7/2019,2.51113
1/8/2019,2.5155
1/9/2019,2.51875
1/10/2019,2.51419
1/11/2019,2.50894
1/14/2019,2.51006
1/15/2019,2.5075
1/16/2019,2.51325
1/17/2019,2.503
1/18/2019,2.506
1/21/2019,2.51225
1/22/2019,2.519
1/23/2019,2.51
1/24/2019,2.50188
1/25/2019,2.5
1/28/2019,2.50175
1/29/2019,2.49888
1/30/2019,2.50913
1/31/2019,2.51375
2/1/2019,2.514
2/4/2019,2.51313
2/5/2019,2.51225
2/6/2019,2.51263
2/7/2019,2.51688
2/8/2019,2.50413
2/11/2019,2.49788
2/12/2019,2.49375
2/13/2019,2.48875
2/14/2019,2.48138
2/15/2019,2.48038
2/18/2019,2.48475
2/19/2019,2.48225
2/20/2019,2.48113
2/21/2019,2.48988
2/22/2019,2.48438
2/25/2019,2.47913
2/26/2019,2.493
2/27/2019,2.48925
2/28/2019,2.49038
3/1/2019,2.48188
3/4/2019,2.483
3/5/2019,2.48088
3/6/2019,2.49175
3/7/2019,2.49275
3/8/2019,2.4915
3/11/2019,2.49888
3/12/2019,2.48863
3/13/2019,2.48375
3/14/2019,2.48175
3/15/2019,2.48175
3/18/2019,2.48775
3/19/2019,2.48675
3/20/2019,2.49063
3/21/2019,2.4855
3/22/2019,2.49888
3/25/2019,2.48975
3/26/2019,2.4955
3/27/2019,2.49863
3/28/2019,2.5015
3/29/2019,2.4945
4/1/2019,2.49338
4/2/2019,2.47938
4/3/2019,2.47713
4/4/2019,2.4735
4/5/2019,2.47163
4/8/2019,2.48125
4/9/2019,2.484
4/10/2019,2.482
4/11/2019,2.47263
4/12/2019,2.47738
4/15/2019,2.47388
4/16/2019,2.47975
4/17/2019,2.48738
4/18/2019,2.48088
4/19/2019,2.48088
4/22/2019,2.48088
4/23/2019,2.47663
4/24/2019,2.48338
4/25/2019,2.4785
4/26/2019,2.48313
