,0,ret_5
2019-08-13 09:05:00-05:00,b'Would Chris Cuomo be given a Red Flag for his recent rant? Filthy language and a total loss of control. He shouldn\\u2019\\u2026 https://t.co/NbNU9CpuhI',-0.0019632949210414
2018-01-16 08:31:00-06:00,b'Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl\\u2026 https://t.co/T5tmchLiz8',-0.0019439780860652117
2017-06-06 08:37:00-05:00,b'So good to see the Saudi Arabia visit with the King and 50 countries already paying off. They said they would take a hard line on funding...',-0.0019352210226115298
2017-07-12 08:28:00-05:00,"b""Why aren't the same standards placed on the Democrats. Look what Hillary Clinton may have gotten away with. Disgraceful!""",-0.001927368634611483
2019-05-10 07:56:00-05:00,"b'Your all time favorite President got tired of waiting for China to help out and start buying from our FARMERS, the\\u2026 https://t.co/C3vSSlFkzB'",-0.0019220688450113576
2018-05-30 09:36:00-05:00,"b'The Failing and Corrupt @nytimes estimated the crowd last night at \\u201c1000 people,\\u201d when in fact it was many times th\\u2026 https://t.co/xShxdaBksU'",-0.0019213174748398901
2018-02-22 08:32:00-06:00,"b'What many people don\\u2019t understand, or don\\u2019t want to understand, is that Wayne, Chris and the folks who work so hard\\u2026 https://t.co/4I87uxDsqD'",-0.0019162332329592116
2018-05-30 12:12:00-05:00,"b'With the #RightToTry Law I signed today, patients with life threatening illnesses will finally have access to exper\\u2026 https://t.co/6tTYqoJviG'",-0.0019118718135469775
2019-08-14 08:47:00-05:00,"b'A fighter and champion, GREAT! https://t.co/8LoTrb6Pdc'",-0.0019100538287897205
2019-06-03 12:45:00-05:00,b'Russia has informed us that they have removed most of their people from Venezuela.',-0.0019099590723055935
2018-05-03 11:50:00-05:00,"b""This spring marks 4yrs since the Phoenix VA crisis. We won't forget what happened to our GREAT VETS. Choice is vita\\u2026 https://t.co/ACz8pT6D0I""",-0.0018926847733509984
2018-09-18 08:27:00-05:00,b'Happy 71st Birthday to our GREAT United States Air Force! https://t.co/r9Sa7DJQ76',-0.0018874399450926561
2018-05-03 13:21:00-05:00,b'#NationalDayOfPrayer https://t.co/nFUc3uyQL8',-0.0018866144703329874
2019-01-24 21:29:00-06:00,b'A third rate conman who interviewed me many years ago for just a short period of time has been playing his biggest\\u2026 https://t.co/tzNlGALNl1',-0.0018827073331450625
2019-07-02 09:26:00-05:00,b'Big 4th of July in D.C. \\u201cSalute to America.\\u201d The Pentagon &amp; our great Military Leaders are thrilled to be doing thi\\u2026 https://t.co/UEPNdG57A1',-0.0018526315789473683
2019-09-05 08:41:00-05:00,b'Really Good Jobs Numbers!',-0.001851540144756775
2018-04-20 05:51:00-05:00,b'Nancy Pelosi is going absolutely crazy about the big Tax Cuts given to the American People by the Republicans...got\\u2026 https://t.co/0REgmJNMqT',-0.0018406037180195105
2019-05-10 08:02:00-05:00,"b'Great Consumer Price Index just out. Really good, very low inflation! We have a great chance to \\u201creally rock!\\u201d Good numbers all around.'",-0.001834862385321101
2018-11-19 09:42:00-06:00,"b'....We no longer pay Pakistan the $Billions because they would take our money and do nothing for us, Bin Laden bein\\u2026 https://t.co/ePHdS3WmzG'",-0.0018328445747800588
2019-02-14 08:56:00-06:00,"b'....Many of the top FBI brass were fired, forced to leave, or left. McCabe\\u2019s wife received BIG DOLLARS from Clinton\\u2026 https://t.co/4InFRTx4IC'",-0.0018203331209611358
2019-06-07 09:45:00-05:00,b'HAPPY BIRTHDAY to our great @VP Mike Pence! https://t.co/k2fmu5bR5R',-0.001819599688068625
2019-08-21 07:53:00-05:00,"b'Doing great with China and other Trade Deals. The only problem we have is Jay Powell and the Fed. He\\u2019s like a golfe\\u2026 https://t.co/CMWhZqhAWb'b'.....We are competing with many countries that have a far lower interest rate, and we should be lower than them. Ye\\u2026 https://t.co/oy1nXArbKw'",-0.001795485636114911
2019-10-04 08:48:00-05:00,"b'\\u201cThe witness was asked at least 20 times, and there definitely was no Quid Pro Quo.\\u201d  @RepMarkMeadows @FoxNews  The\\u2026 https://t.co/vcC2EgMUSM'",-0.001794105083297736
2018-12-06 11:08:00-06:00,b'My thoughts and prayers are with the @USMC crew members who were involved in a mid-air collision off the coast of J\\u2026 https://t.co/aStma9Wepb',-0.0017870579382994734
2018-03-02 07:02:00-06:00,"b'We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DON\\u2019T HAVE STEEL, YOU DON\\u2019T HAVE A COUNTRY!'",-0.0017697466467958272
2019-03-29 10:24:00-05:00,"b'The DEMOCRATS have given us the weakest immigration laws anywhere in the World. Mexico has the strongest, &amp; they ma\\u2026 https://t.co/IjgYa675Qm'",-0.001763668430335097
2019-01-31 08:57:00-06:00,"b'Looking for China to open their Markets not only to Financial Services, which they are now doing, but also to our M\\u2026 https://t.co/KZJaZVPYML'",-0.001763177431328879
2018-01-02 08:54:00-06:00,"b'....impartial journalists of a much higher standard, lose all of your phony and non-existent \\u201csources,\\u201d and treat t\\u2026 https://t.co/4IQrWqQMXh'",-0.0017505067256311038
2018-12-23 22:06:00-06:00,"b'The most important way to stop gangs, drugs, human trafficking and massive crime is at our Southern Border. We need\\u2026 https://t.co/qmJUmUaOxQ'",-0.0017430534194606787
2019-01-14 09:50:00-06:00,b'https://t.co/w5X8jqvtiS',-0.0017356089094590686
2018-10-31 09:20:00-05:00,b'The World is using our laws to our detriment. They laugh at the Stupidity they see!',-0.0017354767994154183
2019-08-07 20:44:00-05:00,"b'Incredible afternoon in El Paso, Texas. We love you, and are with you, all the way! https://t.co/pTNhHapx86'",-0.0017308524448290783
2017-11-13 08:58:00-06:00,"b'Happy to announce, I am nominating Alex Azar to be the next HHS Secretary. He will be a star for better healthcare and lower drug prices!'",-0.0017252947378510496
